فرانكفورت	B-LOC
(	O
د	O
ب	O
أ	O
)	O
أعلن	O
اتحاد	B-ORG
صناعة	I-ORG
السيارات	I-ORG
في	O
ألمانيا	B-LOC
امس	O
الاول	O
أن	O
شركات	O
صناعة	O
السيارات	O
في	O
ألمانيا	B-LOC
تواجه	O
عاما	O
صعبا	O
في	O
ظل	O
ركود	O
السوق	O
الداخلية	O
والصادرات	O
وهي	O
تسعي	O
لان	O
يبلغ	O
الانتاج	O
حوالي	O
خمسة	O
ملايين	O
سيارة	O
في	O
عام	O
2002	O
.	O

وقال	O
رئيس	O
الاتحاد	O
برند	B-PERS
جوتشولك	I-PERS
عند	O
إعلان	O
آخر	O
تقرير	O
سنوي	O
للاتحاد	O
إن	O
مستقبل	O
السوق	O
مازال	O
يفتقر	O
إلي	O
الخطوط	O
الواضحة	O
.	O

وعلي	O
الرغم	O
من	O
أنه	O
قال	O
أنه	O
يتوقع	O
أن	O
تظل	O
صادرات	O
السيارات	O
عند	O
مستوي	O
مرتفع	O
هذا	O
العام	O
فإنه	O
يبدو	O
من	O
غير	O
المحتمل	O
أن	O
تصل	O
إلي	O
مستوي	O
سجل	O
نموها	O
عام	O
2001	O
عندما	O
زادت	O
صادرات	O
سيارات	O
الركاب	O
بنسبة	O
ستة	O
في	O
المائة	O
لتصل	O
إلي	O
6.3	O
مليون	O
سيارة	O
.	O

ورأي	O
جوتشولك	B-PERS
أنه	O
يتعين	O
أن	O
يبلغ	O
الحجم	O
الاجمالي	O
لصادرات	O
السيارات	O
هذا	O
العام	O
حوالي	O
4.3	O
مليون	O
سيارة	O
.	O

وأضاف	O
قائلا	O
نادرا	O
ما	O
كان	O
من	O
الصعب	O
التكهن	O
بالنسبة	O
لعام	O
جار	O
بالفعل	O
مثلما	O
هو	O
الحالالان	O
.	O

وقال	O
أنه	O
يتعين	O
أن	O
يصل	O
عدد	O
السيارات	O
الجديدة	O
في	O
ألمانيا	B-LOC
هذا	O
العام	O
إلي	O
حوالي	O
2.3	O
مليون	O
سيارة	O
بالمقارنة	O
ب	O
34.3	O
مليون	O
سيارة	O
في	O
العام	O
الماضي	O
.	O

وعلي	O
الرغم	O
من	O
أن	O
جوتشولك	B-PERS
تكهن	O
بأن	O
شركات	O
صناعة	O
السيارات	O
في	O
ألمانيا	B-LOC
سوف	O
تنتج	O
حوالي	O
خمس	O
ملايين	O
سيارة	O
في	O
الشهور	O
الاثني	O
عشر	O
القادمة	O
فإن	O
هذا	O
يقل	O
عن	O
مستوي	O
إنتاج	O
العام	O
الماضي	O
الذي	O
بلغ	O
3.5	O
مليون	O
سيارة	O
ركاب	O
.	O

وقال	O
أن	O
مستوي	O
إنتاج	O
عام	O
2001	O
كان	O
ثالث	O
أفضل	O
نتيجة	O
في	O
تاريخ	O
أهم	O
شركات	O
صناعة	O
سيارات	O
في	O
ألمانيا	B-LOC
.	O

رجح	O
الممثل	O
الأعلى	O
للأمن	O
والسياسة	O
الخارجية	O
الأوروبي	O
خافيير	B-PERS
سولانا	I-PERS
أن	O
يتوصل	O
مجلس	B-ORG
الأمن	I-ORG
الأسبوع	O
المقبل	O
إلى	O
حل	O
للأزمة	O
الناشبة	O
عن	O
الاعتداء	O
الإسرائيلي	O
المتواصل	O
منذ	O
ثمانية	O
أيام	O
على	O
لبنان	B-LOC
.	O

وقال	O
خلال	O
مؤتمر	O
صحفي	O
في	O
القاهرة	B-LOC
بعد	O
لقائه	O
الرئيس	O
حسني	B-PERS
مبارك	I-PERS
إن	O
مجلس	B-ORG
الأمن	I-ORG
قد	O
يتبنى	O
قرارا	O
حول	O
النزاع	O
الأسبوع	O
المقبل	O
،	O
داعيا	O
إلى	O
بذل	O
الجهود	O
لأجل	O
إنهاء	O
النزاع	O
.	O

ووصف	O
سولانا	B-PERS
الذي	O
قام	O
بجولة	O
شملت	O
لبنان	B-LOC
وإسرائيل	B-LOC
المعاناة	O
الحالية	O
في	O
لبنان	B-LOC
بأنها	O
أمر	O
مروع	O
،	O
ودعا	O
الجميع	O
لبذل	O
الجهود	O
اللازمة	O
لوضع	O
حد	O
لإراقة	O
الدماء	O
.	O

خطة	O
أنان	B-PERS
و	O
في	O
نيويورك	B-LOC
دعا	O
الأمين	O
العام	O
للأمم	O
المتحدة	O
إلى	O
وقف	O
فوري	O
لإطلاق	O
النار	O
،	O
وحدد	O
ملامح	O
خطة	O
للأزمة	O
اقترحها	O
موفدوه	O
الذين	O
زاروا	O
الاثنين	O
والثلاثاء	O
الماضيين	O
بيروت	B-LOC
وتل	B-LOC
أبيب	I-LOC
.	O

وقال	O
كوفي	B-PERS
أنان	I-PERS
إن	O
هذه	O
الخطة	O
يجب	O
أن	O
تشكل	O
القاعدة	O
السياسية	O
لأي	O
وقف	O
لإطلاق	O
نار	O
،	O
موضحا	O
أنها	O
تنص	O
على	O
نقل	O
الجنديين	O
الأسيرين	O
إلى	O
السلطات	O
اللبنانية	O
الشرعية	O
برعاية	O
اللجنة	B-ORG
الدولية	I-ORG
للصليب	I-ORG
الأحمر	I-ORG
بهدف	O
إعادتهما	O
إلى	O
إسرائيل	B-LOC
ووقف	O
إطلاق	O
النار	O
.	O

كما	O
تنص	O
تلك	O
الخطة	O
على	O
نشر	O
قوة	O
لحفظ	O
السلام	O
في	O
الجانب	O
اللبناني	O
من	O
الخط	O
الأزرق	O
الفاصل	O
بين	O
الحدود	O
اللبنانية	O
والإسرائيلية	O
،	O
للمساهمة	O
في	O
إرساء	O
الاستقرار	O
بالمنطقة	O
.	O

ودعا	O
أنان	B-PERS
خلال	O
كلمة	O
له	O
أمس	O
أمام	O
مجلس	B-ORG
الأمن	I-ORG
إلى	O
عقد	O
مؤتمر	O
دولي	O
لوضع	O
جدول	O
زمني	O
دقيق	O
لتطبيق	O
قرارات	O
المجلس	O
بسرعة	O
،	O
وخصوصا	O
نزع	O
سلاح	O
حزب	B-ORG
الله	I-ORG
.	O

من	O
جهته	O
رفض	O
السفير	O
الأميركي	O
بمجلس	O
الأمن	O
اقتراح	O
أنان	B-PERS
بوقف	O
فوري	O
لإطلاق	O
النار	O
،	O
قائلا	O
إنه	O
لا	O
يمكن	O
التوصل	O
إلى	O
ذلك	O
مع	O
مجموعة	O
من	O
الإرهابيين	O
.	O

جون	B-PERS
بولتون	I-PERS
:	O
وقف	O
إطلاق	O
النار	O
مع	O
الإرهابيين	O
مرفوض	O
(	O
الفرنسية	O
)	O
وأضاف	O
جون	B-PERS
بولتون	I-PERS
إن	O
ما	O
نسعى	O
إليه	O
هو	O
وقف	O
طويل	O
للأعمال	O
الحربية	O
يكون	O
جزءا	O
من	O
تغيير	O
شامل	O
بالمنطقة	O
وجزءا	O
من	O
مؤسسة	O
للسلام	O
،	O
لكن	O
أحدا	O
لم	O
يشرح	O
كيف	O
يمكن	O
التوصل	O
إلى	O
وقف	O
للنار	O
مع	O
مجموعة	O
من	O
الإرهابيين	O
.	O

وشن	O
المندوب	O
الإسرائيلي	O
دان	B-PERS
غيلرمان	I-PERS
هجوما	O
عنيفا	O
على	O
أمين	O
الأمم	B-ORG
المتحدة	I-ORG
لأن	O
تقريره	O
لم	O
يشر	O
إلى	O
الإرهاب	O
وإيران	B-LOC
وسوريا	B-LOC
.	O

وأعلن	O
المتحدث	O
باسم	O
الخارجية	O
الأميركية	O
شون	B-PERS
ماكورماك	I-PERS
من	O
جهته	O
أن	O
الوزيرة	O
كوندوليزا	B-PERS
رايس	I-PERS
ستزور	O
المنطقة	O
الأسبوع	O
المقبل	O
لخفض	O
التوتر	O
بين	O
إسرائيل	B-LOC
وحزب	B-ORG
الله	I-ORG
،	O
من	O
دون	O
إعطاء	O
تفاصيل	O
حول	O
التاريخ	O
أو	O
الدول	O
التي	O
ستزورها	O
.	O

تشاؤم	O
السنيورة	B-PERS
وفي	O
بيروت	B-LOC
شكر	O
رئيس	O
الحكومة	O
أنان	B-PERS
في	O
اتصال	O
هاتفي	O
على	O
اهتمامه	O
بلبنان	B-LOC
،	O
وأبدى	O
أمس	O
تشاؤمه	O
باحتمال	O
التوصل	O
إلى	O
حل	O
قريب	O
للحرب	O
الإسرائيلية	O
على	O
البلاد	O
.	O

واتهم	O
فؤاد	B-PERS
السنيورة	I-PERS
الولايات	B-LOC
المتحدة	I-LOC
